,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE
362,Daire,Adnan Kahveci Mah.,165,140,3+1,4,5,9,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,150,Hayır,Kat İrtifaklı,Emlak Ofisinden,Hayır,"3.100.000 TL
Kredi Teklifleri"
363,Daire,Adnan Kahveci Mah.,350,300,5+2,5-10 arası,7,7,Doğalgaz (Kombi),3,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"4.950.000 TL
Kredi Teklifleri"
364,Daire,Adnan Kahveci Mah.,120,105,2+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.275.000 TL
Kredi Teklifleri"
365,Daire,Kavaklı Mh.,172,148,3+1,0,Bahçe Katı,12,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,İhlas Marmara Evleri 4. Kısım,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"5.100.000 TL
Kredi Teklifleri"
366,Daire,Adnan Kahveci Mah.,110,100,2+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,"1.999.000 TL
Kredi Teklifleri"
367,Daire,Marmara Mah.,110,100,3+1,16-20 arası,6,8,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Evet,İhlas Marmara Evleri 1. Kısım,360,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.425.000 TL
Kredi Teklifleri"
368,Daire,Adnan Kahveci Mah.,110,90,2+1,11-15 arası,8,9,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Evet,Elit Park Evleri,260,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,"2.450.000 TL
Kredi Teklifleri"
369,Daire,Marmara Mah.,115,100,2+1,0,Giriş Katı,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,20,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"1.259.000 TL
Kredi Teklifleri"
370,Daire,Dereağzı Mh.,155,135,3+1,5-10 arası,4,5,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,120,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.750.000 TL
Kredi Teklifleri"
371,Daire,Adnan Kahveci Mah.,380,360,7+2,5-10 arası,5,6,Merkezi (Pay Ölçer),3,Var,Hayır,Mülk Sahibi,Evet,Dora Park 3,1.400,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"12.850.000 TL
Kredi Teklifleri"
372,Daire,Barış Mh.,150,140,3+1,11-15 arası,4,12,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.250.000 TL
Kredi Teklifleri"
373,Daire,Barış Mh.,150,140,3+1,11-15 arası,4,12,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.250.000 TL
Kredi Teklifleri"
374,Daire,Beylikdüzü OSB,100,90,2+1,0,3,8,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,60,Evet,Kat İrtifaklı,İnşaat Firmasından,Hayır,"892.000 TL
Kredi Teklifleri"
