,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE,NEW_IS_IT_TWOPLY
407,Daire,Marmara Mah.,144.0,115.0,2+1,3,2,5,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Evet,Deniz İstanbul Mercan Konakları,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,7675000,Hayır
408,Daire,Yakuplu Mah.,140.0,120.0,3+1,4,3,5,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,Belirtilmemiş,80.0,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Evet,2220000,Hayır
409,Daire,Kavaklı Mh.,168.0,130.0,3+1,1,1,4,Rare,2,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,80.0,Evet,Kat İrtifaklı,Sahibinden,Evet,3500000,Hayır
410,Daire,Cumhuriyet Mah.,130.0,120.0,3+1,0,Giriş Katı,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,749900,Hayır
411,Daire,Adnan Kahveci Mah.,230.0,200.0,4+2,5-10 arası,3,4,Doğalgaz (Kombi),3,Var,Hayır,Mülk Sahibi,Evet,Kolej Evleri,250.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3200000,Evet
412,Daire,Büyükşehir Mh.,85.0,80.0,2+1,21-25 arası,Yüksek Giriş,12,Merkezi,2,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,143.75,Evet,Kat Mülkiyetli,Sahibinden,Hayır,1750000,Hayır
413,Daire,Marmara Mah.,165.0,150.0,3+1,5-10 arası,8,12,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2346000,Hayır
415,Daire,Sahil Mah.,125.0,115.0,2+1,0,Giriş Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1849000,Hayır
416,Daire,Cumhuriyet Mah.,150.0,135.0,3+1,5-10 arası,2,11,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2199900,Hayır
417,Daire,Cumhuriyet Mah.,145.0,130.0,3+1,0,Yüksek Giriş,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,868000,Hayır
418,Daire,Adnan Kahveci Mah.,125.0,100.0,2+1,5-10 arası,5,7,Doğalgaz (Kombi),2,Yok,Hayır,Mülk Sahibi,Evet,İdeal Evleri,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3000000,Hayır
420,Daire,Adnan Kahveci Mah.,135.0,125.0,2+1,0,6,9,Merkezi,2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,5320000,Hayır
421,Daire,Kavaklı Mh.,60.0,42.0,1+1,1,9,12,Merkezi,1,Var,Evet,Boş,Evet,Demir Country,400.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2325000,Hayır
422,Daire,Kavaklı Mh.,145.0,130.0,3+1,0,Giriş Katı,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1599000,Hayır
423,Daire,Kavaklı Mh.,85.0,65.0,2+1,0,Giriş Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1650000,Hayır
425,Daire,Dereağzı Mh.,300.0,280.0,HIGH_RARITY,4,5,5,Merkezi,3,Var,Hayır,Mülk Sahibi,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,6750000,Evet
426,Daire,Adnan Kahveci Mah.,165.0,155.0,3+1,16-20 arası,3,11,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Evet,Simakent Sitesi,255.0,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,2550000,Hayır
427,Daire,Cumhuriyet Mah.,110.0,100.0,2+1,5-10 arası,9,10,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1925000,Hayır
428,Daire,Adnan Kahveci Mah.,110.0,100.0,2+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2600000,Hayır
429,Daire,Dereağzı Mh.,110.0,98.0,2+1,21-25 arası,Giriş Katı,7,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2550000,Hayır
430,Daire,Barış Mh.,160.0,150.0,3+1,21-25 arası,4,14,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,220.9765625,Evet,Kat İrtifaklı,Emlak Ofisinden,Evet,2335000,Hayır
